School ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Grade 12 offered [Public School] 2018-19,Grade 13 Offered [Public School] 2018-19,Ungraded offered [Public School] 2018-19,Adult Education Offered [Public School] 2018-19,No Grades Offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Includes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Direct Certification [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
481830001660,ALTA VISTA EL,Texas,2-No,2-No,2-No,2-No,2-No,299,299,282,–,1,283,†,22.46,13.31
481770007447,ALTER DISCIPLINE CAMPUS,Texas,1-Yes,2-No,2-No,2-No,2-No,45,45,24,–,2,26,32,8.68,5.18
481800001596,ALTER ED CTR,Texas,1-Yes,2-No,2-No,2-No,2-No,100,100,52,–,0,52,67,18.41,5.43
482406007730,ALTER ED PROG,Texas,1-Yes,2-No,2-No,2-No,2-No,47,47,29,–,8,37,21,11.55,4.07
481111008976,ALTER ED PROG,Texas,–,–,–,–,–,†,†,†,†,†,†,†,†,†
483294006035,ALTER H S,Texas,1-Yes,2-No,2-No,2-No,2-No,97,97,71,–,0,71,97,19.32,5.02
480001006990,ALTER IMPACT CTR,Texas,1-Yes,2-No,2-No,2-No,2-No,47,47,27,–,5,32,38,10.31,4.56
482523007014,ALTER LEARNING CTR,Texas,1-Yes,2-No,2-No,2-No,2-No,7,7,†,–,†,†,7,1,7
483294006889,ALTER MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,48,48,35,–,4,39,†,14.76,3.25
482855008420,ALTER SCH,Texas,1-Yes,2-No,2-No,2-No,2-No,0,0,–,–,–,–,0,0.00,†
481984021258,ALTER SCH,Texas,1-Yes,2-No,2-No,2-No,2-No,23,23,10,–,0,10,23,1.05,21.9
483543007363,ALTER SCH,Texas,2-No,2-No,2-No,2-No,2-No,4,4,†,–,†,†,2,5.44,0.74
480765007158,ALTER SCHOOL,Texas,2-No,2-No,2-No,2-No,2-No,6,6,†,–,†,†,3,1,6
481815008442,ALTERNATIVE CENTER,Texas,1-Yes,2-No,2-No,2-No,2-No,28,28,25,–,0,25,18,5.2,5.38
482874008995,ALTERNATIVE EDUCATION PROGRAM,Texas,2-No,2-No,2-No,2-No,2-No,1,1,†,–,†,†,†,5,0.20
483228008674,ALTERNATIVE EDUCATION SCHOOL,Texas,1-Yes,2-No,2-No,2-No,2-No,0,0,–,–,–,–,0,2.49,0.00
483294011135,ALTERNATIVE EL,Texas,2-No,2-No,2-No,2-No,2-No,8,8,†,–,†,†,†,4.39,1.82
483312006149,ALTERNATIVE H S,Texas,1-Yes,2-No,2-No,2-No,2-No,142,142,96,–,7,103,142,22.73,6.25
480894009076,ALTERNATIVE LEARNING CENTER,Texas,1-Yes,2-No,2-No,2-No,2-No,83,83,59,–,2,61,58,22.16,3.75
